Id,SalePrice
1461,120679.201868
1462,158155.075171
1463,183086.427002
1464,200730.605482
1465,193019.674308
1466,171090.324223
1467,171255.442332
1468,162146.712882
1469,201387.287195
1470,114784.385457
1471,186379.120228
1472,101677.824692
1473,96062.7089565
1474,143268.446271
1475,109158.754957
1476,374625.405842
1477,248301.433619
1478,291918.500287
1479,294258.755779
1480,479894.18635
1481,328354.978509
1482,214031.091952
1483,183133.733603
1484,161677.838501
1485,200569.889078
1486,199158.12505
1487,336187.520176
1488,239886.364946
1489,191805.32028
1490,236315.469505
1491,196371.995781
1492,93315.1475572
1493,177476.413555
1494,302485.868755
1495,298292.854739
1496,229505.012325
1497,182033.91668
1498,175320.060536
1499,164521.099132
1500,157765.729925
1501,180527.845095
1502,148554.424964
1503,283924.640468
1504,243172.859969
1505,223165.038365
1506,193706.775235
1507,243715.168371
1508,203918.705882
1509,170089.195015
1510,145066.960682
1511,156553.066305
1512,163962.962773
1513,157426.4168
1514,152943.989609
1515,201899.299208
1516,157171.283768
1517,170231.257421
1518,129297.024928
1519,207656.833174
1520,128163.658677
1521,134604.853424
1522,183448.569318
1523,111844.663754
1524,130745.625853
1525,121962.302628
1526,114169.853357
1527,108134.018953
1528,138125.079176
1529,159553.669106
1530,180889.772451
1531,113140.393401
1532,94457.2788654
1533,153245.640848
1534,130916.765383
1535,146735.156936
1536,108820.167941
1537,59632.7844706
1538,144413.218875
1539,199699.058278
1540,97781.7035422
1541,145982.200378
1542,146414.483103
1543,187943.81522
1544,84984.4240028
1545,117896.093903
1546,140806.701476
1547,130176.895998
1548,142199.386343
1549,124812.807103
1550,132934.261946
1551,101640.117838
1552,139583.29001
1553,148542.152625
1554,115322.55319
1555,169990.388196
1556,89235.5571771
1557,114703.661706
1558,104702.169177
1559,57785.9481882
1560,125656.183454
1561,126967.452715
1562,131985.669665
1563,120987.678813
1564,158538.73334
1565,148958.177643
1566,244421.541719
1567,76355.4317632
1568,238311.179615
1569,131903.810196
1570,138996.661173
1571,131574.063827
1572,144728.866962
1573,243914.701749
1574,124316.266395
1575,226291.666028
1576,252408.500675
1577,180723.939532
1578,143209.166987
1579,142230.792913
1580,199054.078963
1581,156474.723795
1582,122257.048405
1583,288988.208872
1584,215649.498947
1585,137232.946692
1586,66818.9360813
1587,112525.063477
1588,156276.87282
1589,99498.887705
1590,133680.831863
1591,95583.9088653
1592,114899.302092
1593,118391.771463
1594,126092.887282
1595,106444.83155
1596,222356.000743
1597,202630.852399
1598,246425.650641
1599,169134.10802
1600,161595.324269
1601,62548.5788257
1602,120384.457486
1603,69936.2034058
1604,266894.618544
1605,247647.116803
1606,161801.286411
1607,179922.688215
1608,219302.68821
1609,181740.869949
1610,155367.570238
1611,147121.459875
1612,171486.300823
1613,164987.292546
1614,128385.731804
1615,95052.7702365
1616,81022.1530613
1617,95743.6622798
1618,129302.351577
1619,133558.342167
1620,141986.998102
1621,141337.316164
1622,139513.291873
1623,263590.076157
1624,208455.813145
1625,120924.700361
1626,170744.004375
1627,196320.845473
1628,288382.098496
1629,191835.492204
1630,330869.764921
1631,222714.859174
1632,245598.468721
1633,182360.362558
1634,189261.926018
1635,174246.318659
1636,149778.041592
1637,207385.408299
1638,184144.518078
1639,194955.161791
1640,256998.237298
1641,188886.254372
1642,251113.119436
1643,212018.632739
1644,242761.357872
1645,188765.55954
1646,155714.150906
1647,161167.655428
1648,133353.016756
1649,140057.528909
1650,110861.805515
1651,119176.776892
1652,100217.421583
1653,102733.836558
1654,142785.918908
1655,130759.191988
1656,140817.066255
1657,146568.843095
1658,143377.755243
1659,115646.589381
1660,158983.177972
1661,436174.681791
1662,394628.460804
1663,385917.865857
1664,490602.538253
1665,316372.11828
1666,322760.214194
1667,381870.141257
1668,364353.105053
1669,308091.207524
1670,354221.40812
1671,256602.791202
1672,398477.940063
1673,289804.78766
1674,235331.176706
1675,198979.482745
1676,195412.648194
1677,224236.407644
1678,467652.79674
1679,386538.48561
1680,342422.267908
1681,256634.217966
1682,313029.721209
1683,185220.497428
1684,176091.758962
1685,175287.769559
1686,168886.093548
1687,179600.192455
1688,194943.490017
1689,195070.216774
1690,200794.046222
1691,189779.046018
1692,271013.68677
1693,179874.17929
1694,183951.70103
1695,170334.966309
1696,268599.528311
1697,177943.547441
1698,352502.123391
1699,306365.249702
1700,261577.37466
1701,284327.922494
1702,241997.85276
1703,238110.047648
1704,273333.168348
1705,245696.464667
1706,428311.155921
1707,212583.067194
1708,201086.912456
1709,263917.906628
